what,kind,bundleId,bundleVersion,description,time
error,log,,,"Invalid format",1415677081543
error,log,,,"Invalid format",1415677081544
error,log,,,"Invalid format",1415677081545
error,log,,,"Invalid format",1415677081545
error,log,,,"Invalid format",1415677081547
error,log,,,"Invalid format",1415677081557
error,log,,,"Invalid format",1415677081558
error,log,,,"Invalid format",1415677081559
error,log,,,"Invalid format",1415677081561
error,log,,,"Invalid format",1415677081562
error,log,,,"Invalid format",1415677081563
error,log,,,"Invalid format",1415677081563
error,log,,,"Invalid format",1415677081564
error,log,,,"Invalid format",1415677081565
error,log,,,"Invalid format",1415677081566
error,log,,,"Invalid format",1415677081567
error,log,,,"Invalid format",1415677081567
error,log,,,"Invalid format",1415677081568
error,log,,,"Invalid format",1415677081569
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1415677081902
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1415677083758
error,log,,,"Invalid format",1415677087991
error,log,,,"Invalid format",1415677087992
error,log,,,"Invalid format",1415677087994
error,log,,,"Invalid format",1415677087995
error,log,,,"Invalid format",1415677087995
error,log,,,"Invalid format",1415677087996
error,log,,,"Invalid format",1415677087997
error,log,,,"Invalid format",1415677088000
error,log,,,"Invalid format",1415677088001
error,log,,,"Invalid format",1415677088002
error,log,,,"Invalid format",1415677088003
error,log,,,"Invalid format",1415677088003
error,log,,,"Invalid format",1415677088004
error,log,,,"Invalid format",1415677088005
error,log,,,"Invalid format",1415677088005
error,log,,,"Invalid format",1415677088006
error,log,,,"Invalid format",1415677088007
error,log,,,"Invalid format",1415677088007
error,log,,,"Invalid format",1415677088008
error,log,,,"Invalid format",1415677088011
error,log,,,"Invalid format",1415677088012
error,log,,,"Invalid format",1415677088037
error,log,,,"Invalid format",1415677088038
error,log,,,"Invalid format",1415677088039
error,log,,,"Invalid format",1415677088040
error,log,,,"Invalid format",1415677088042
error,log,,,"Invalid format",1415677088042
error,log,,,"Invalid format",1415677088043
error,log,,,"Invalid format",1415677088044
error,log,,,"Invalid format",1415677088045
error,log,,,"Invalid format",1415677088045
error,log,,,"Invalid format",1415677088046
error,log,,,"Invalid format",1415677088047
error,log,,,"Invalid format",1415677088055
error,log,,,"Invalid format",1415677088056
error,log,,,"Invalid format",1415677088057
error,log,,,"Invalid format",1415677088058
error,log,,,"Invalid format",1415677088059
error,log,,,"Invalid format",1415677088059
error,log,,,"Invalid format",1415677088060
error,log,,,"Invalid format",1415677088061
error,log,,,"Invalid format",1415677088062
