what,kind,bundleId,bundleVersion,description,time
error,log,,,"Invalid format",1415677094396
error,log,,,"Invalid format",1415677094397
error,log,,,"Invalid format",1415677094397
error,log,,,"Invalid format",1415677094398
error,log,,,"Invalid format",1415677094399
error,log,,,"Invalid format",1415677094399
error,log,,,"Invalid format",1415677094401
error,log,,,"Invalid format",1415677094401
error,log,,,"Invalid format",1415677094402
error,log,,,"Invalid format",1415677094403
error,log,,,"Invalid format",1415677094403
error,log,,,"Invalid format",1415677094404
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415677096505
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415677096682
error,log,,,"Invalid format",1415677096861
error,log,,,"Invalid format",1415677096862
error,log,,,"Invalid format",1415677096863
error,log,,,"org.tigris.subversion.javahl.ClientException: Unsupported working copy format\nsvn: The path 'D:\\pagibig\\aas-webservice\\aas-webservice-service' appears to be part of a Subversion 1.7 or greater\nworking copy.  Please upgrade your Subversion client to use this\nworking copy.\n",1415677096868
error,log,,,"Invalid format",1415677096869
error,log,,,"Invalid format",1415677096870
error,log,,,"Invalid format",1415677096870
error,log,,,"org.tigris.subversion.javahl.ClientException: Unsupported working copy format\nsvn: The path 'D:\\pagibig\\aas-webservice\\aas-webservice-service' appears to be part of a Subversion 1.7 or greater\nworking copy.  Please upgrade your Subversion client to use this\nworking copy.\n",1415677096876
error,log,,,"Invalid format",1415677096876
error,log,,,"Invalid format",1415677096877
error,log,,,"Invalid format",1415677096878
error,log,,,"org.tigris.subversion.javahl.ClientException: Unsupported working copy format\nsvn: The path 'D:\\pagibig\\aas-webservice\\aas-webservice-service' appears to be part of a Subversion 1.7 or greater\nworking copy.  Please upgrade your Subversion client to use this\nworking copy.\n",1415677096884
error,log,,,"Invalid format",1415677096997
error,log,,,"Invalid format",1415677096998
error,log,,,"Invalid format",1415677096999
error,log,,,"Invalid format",1415677096999
error,log,,,"Invalid format",1415677097000
error,log,,,"Invalid format",1415677097001
error,log,,,"Invalid format",1415677097001
error,log,,,"Invalid format",1415677097002
error,log,,,"Invalid format",1415677097003
error,log,,,"Invalid format",1415677097003
error,log,,,"Invalid format",1415677097004
error,log,,,"Invalid format",1415677097005
error,log,,,"Invalid format",1415677097005
error,log,,,"Invalid format",1415677097006
error,log,,,"Invalid format",1415677097006
error,log,,,"Invalid format",1415677097007
error,log,,,"Invalid format",1415677097008
error,log,,,"Invalid format",1415677097009
error,log,,,"Invalid format",1415677097009
error,log,,,"Invalid format",1415677097010
error,log,,,"Invalid format",1415677097011
error,log,,,"Invalid format",1415677097012
error,log,,,"Invalid format",1415677097689
error,log,,,"Invalid format",1415677097690
error,log,,,"Invalid format",1415677097691
error,log,,,"Invalid format",1415677097692
error,log,,,"Invalid format",1415677097692
error,log,,,"Invalid format",1415677097693
error,log,,,"Invalid format",1415677097694
error,log,,,"Invalid format",1415677097694
error,log,,,"Invalid format",1415677097695
error,log,,,"Invalid format",1415677097696
error,log,,,"Invalid format",1415677097696
error,log,,,"Invalid format",1415677097697
error,log,,,"Invalid format",1415677097698
error,log,,,"Invalid format",1415677097698
error,log,,,"Invalid format",1415677097699
error,log,,,"Invalid format",1415677097700
error,log,,,"Invalid format",1415677097700
error,log,,,"Invalid format",1415677097701
error,log,,,"Invalid format",1415677097702
error,log,,,"Invalid format",1415677097702
error,log,,,"Invalid format",1415677097703
error,log,,,"Invalid format",1415677097705
error,log,,,"Invalid format",1415677097705
error,log,,,"Invalid format",1415677097706
error,log,,,"Invalid format",1415677097707
error,log,,,"Invalid format",1415677097707
error,log,,,"Invalid format",1415677097708
error,log,,,"Invalid format",1415677097709
error,log,,,"Invalid format",1415677097709
error,log,,,"Invalid format",1415677097710
error,log,,,"Invalid format",1415677097710
error,log,,,"Invalid format",1415677097711
error,log,,,"Invalid format",1415677097712
error,log,,,"Invalid format",1415677097712
error,log,,,"Invalid format",1415677097713
error,log,,,"Invalid format",1415677097714
error,log,,,"Invalid format",1415677097714
error,log,,,"Invalid format",1415677097715
error,log,,,"Invalid format",1415677097716
error,log,,,"Invalid format",1415677097716
error,log,,,"Invalid format",1415677097717
error,log,,,"Invalid format",1415677097718
error,log,,,"Invalid format",1415677097719
error,log,,,"Invalid format",1415677097720
error,log,,,"Invalid format",1415677097721
error,log,,,"Invalid format",1415677097721
error,log,,,"Invalid format",1415677097723
error,log,,,"Invalid format",1415677097724
error,log,,,"Invalid format",1415677097724
error,log,,,"Invalid format",1415677097725
error,log,,,"Invalid format",1415677097726
error,log,,,"Invalid format",1415677097726
error,log,,,"Invalid format",1415677097727
error,log,,,"Invalid format",1415677097727
error,log,,,"Invalid format",1415677097728
error,log,,,"Invalid format",1415677097729
error,log,,,"Invalid format",1415677097729
error,log,,,"Invalid format",1415677097866
error,log,,,"Invalid format",1415677097867
error,log,,,"Invalid format",1415677097868
error,log,,,"Invalid format",1415677097869
error,log,,,"Invalid format",1415677097870
error,log,,,"Invalid format",1415677097871
error,log,,,"Invalid format",1415677097872
error,log,,,"Invalid format",1415677097873
error,log,,,"Invalid format",1415677097875
error,log,,,"Invalid format",1415677097876
error,log,,,"Invalid format",1415677097878
error,log,,,"Invalid format",1415677097879
error,log,,,"Invalid format",1415677097880
error,log,,,"Invalid format",1415677097881
error,log,,,"Invalid format",1415677097882
error,log,,,"Invalid format",1415677097883
error,log,,,"Invalid format",1415677097885
error,log,,,"Invalid format",1415677097886
error,log,,,"Invalid format",1415677097887
error,log,,,"Invalid format",1415677097889
error,log,,,"Invalid format",1415677097890
error,log,,,"Invalid format",1415677097891
